barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
224DB1458,15/11/2015,QUANTITATIVE APTITUDE,,AGGARWAL S R,E &amp; TC,371.26/AGG,,DB,1
224DB1459,15/11/2015,QUANTITATIVE APTITUDE,,AGGARWAL S R,E &amp; TC,371.26/AGG,,DB,1
224DB1460,15/11/2015,QUANTITATIVE APTITUDE,,AGGARWAL S R,E &amp; TC,371.26/AGG,,DB,1
224DB1461,15/11/2015,QUANTITATIVE APTITUDE,,AGGARWAL S R,E &amp; TC,371.26/AGG,,DB,1
224DB1462,15/11/2015,UNDERSTANDING POINTERS IN C,2,KANETKAR P YASHAVANT,IT,005.133C/KAN,,DB,1
224DB1463,15/11/2015,UNDERSTANDING POINTERS IN C,4,KANETKAR P YASHAVANT,IT,005.133C/KAN,,DB,1
224DB1464,15/11/2015,LET US C,13,KANETKAR P YASHAVANT,IT,005.133C/KAN,,DB,1
224DB1465,15/11/2015,LET US C,13,KANETKAR P YASHAVANT,IT,005.133C/KAN,,DB,1
224DB1466,15/11/2015,PHYSICS VOLUME I,5,HALLIDAY DAVID,IT,530/HAL/RES,,DB,1
224DB1467,15/11/2015,PHYSICS VOLUME I,5,HALLIDAY DAVID,IT,530/HAL/RES,,DB,1
224DB1468,01/12/2015,WORD POWER MADE EASY,3,LEWIS NORMAN,E &amp; TC,428/LEW,,DB,1
224DB1469,01/12/2015,DATA STRUCTURES USING C AND C++,,LANGSAM YEDIDYAH,COMPUTER,005.73/LAN/AUG,,DB,1
224DB1470,01/12/2015,TEACH YOURSELF C++ IN 24 HOURS,2,LIBERTY JESSE,COMPUTER,005.133C++/LIB,,DB,1
224DB1471,01/12/2015,SOFTWARE TESTING IN THE REAL WORLD IMPROVING THE PROCESS,,KIT EDWARD,COMPUTER,005.10684/KIT,,DB,1
224DB1472,01/12/2015,DATA STRUCTURES AND FILES,2,POTDAR P G,COMPUTER,005.73/POT,,DB,1
224DB1473,01/12/2015,INFORMATION TECHNOLOGY AND PROJECT MANAGEMENT,,HANWATE KUMAR POONAM,IT,658/HAN/PIS,,DB,1
224DB1474,01/12/2015,INTEGRATED CIRCUITS,,NAIR SOMANATHAN B,E &amp; TC,621.3815/NAI/DEE,,DB,1
224DB1475,01/12/2015,CONTROL SYSTEMS,,KOGENT LEARNING SOLU ,E &amp; TC,629.83/KOG,,DB,1
224DB1476,01/12/2015,DATA STRUCTURES AND FILES,2,SHUKLA  RAJESH,E &amp; TC,005.73/SHU,,DB,355.3
224DB1477,01/12/2015,OBJECT ORIENTED AND MULTICORE PROGRAMMING,,JOSHI HARDIK,IT,004.35/JOS/SAV,,DB,1
224DB1478,01/12/2015,COMPUTER NETWORKS,,WAGH B SATISH,IT,004.6/WAG/PAT,,DB,1
224DB1479,01/12/2015,SOFTWARE ENGINEERING,,TATALE SUBHASH,IT,005.1/TAT/PRA,,DB,1
224DB1480,01/12/2015,ENGINEERING MATHEMATICS - I,,ACHARYA S R,IT,510/ACH/GAI,,DB,1
224DB1481,01/12/2015,ENGINEERING CHEMISTRY,,DESHMUKH PRAJAKTA,IT,540/DES/KAP,,DB,1
224DB1482,01/12/2015,ENGINEERING PHYSICS,,MOHARIL UMESH,IT,530/MOH/SAW,,DB,1
224DB1483,17/12/2015,OP AMPS AND LINEAR INTEGRATED CIRCUITS,4,GAYAKWAD A RAMAKANT,E &amp; TC,621.395/GAY,,DB,1
224DB1484,17/12/2015,COMPUTER GRAPHICS,2,HARRINGTON STEVEN,E &amp; TC,006.6/HAR,,DB,1
224DB1485,17/12/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1486,17/12/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1487,17/12/2015,DIGITAL SIGNAL PROCESSING AND APPLICATIONS WITH THE TMS320C6713 AND TMS320C6416DSK,2,CHASSAING RULPH,E &amp; TC,621.3822/CHA/REA,,DB,1
224DB1488,17/12/2015,OBJECT ORIENTED PROGRAMMING USING C++ AND JAVA,,BALAGURUSAMY E,IT,005.12/BAL,,DB,1
224DB1489,17/12/2015,DIGITAL SIGNAL PROCESSING,4,BABU P RAMESH,E &amp; TC,621.3822/BAB,,DB,1
224DB1490,01/03/2016,LET US C,13,KANETKAR  YASHAVANT,IT,005.133C/KAN,,DB,
224DB1491,01/03/2016,LET US C,13,KANETKAR YASHAVANT,IT,005.133C/KAN,,DB,
224DB1492,01/03/2016,LET US C,13,KANETKAR YASHAVANT,IT,005.133C/KAN,,DB,
